Date,Open,High,Low,Close,Volume,Daily_Return_Pct,Daily_Range,MA_20,MA_50,MA_200,EMA_12,EMA_26,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Width,RSI_14,Volume_MA_20,Cumulative_Return_Pct,Year,Month,Quarter,Day_of_Week,Volatility_30d
2000-04-06,43.99,43.99,42.11,43.29,688502.0,0.2083,1.88,43.94,44.2812,51.5568,44.1327,44.0858,0.047,0.067,46.4931,41.3869,5.1061,44.8979,1746904.55,148.66,2000,4,2,Thursday,1.968590499964817
2000-04-07,43.0,43.25,42.02,42.99,560984.0,-0.693,1.23,44.039,44.1472,51.4548,43.9569,44.0046,-0.0477,0.0441,46.2434,41.8346,4.4088,43.8122,1745984.8,146.93,2000,4,2,Friday,1.753214734046621
2000-04-10,42.95,43.5,42.76,42.92,592924.0,-0.1628,0.74,44.105,44.0406,51.3619,43.7974,43.9242,-0.1269,0.0099,46.0678,42.1422,3.9255,42.6533,1741993.45,146.53,2000,4,2,Monday,1.738476726878032
2000-04-11,42.9,43.1,41.9,42.15,700575.0,-1.794,1.2,44.0945,43.9404,51.2643,43.5439,43.7928,-0.2489,-0.0419,46.0984,42.0906,4.0077,38.0336,1721157.25,142.11,2000,4,2,Tuesday,1.739091535679266
2000-04-12,42.4,42.75,41.61,41.9,889251.0,-0.5931,1.14,44.044,43.8252,51.1571,43.291,43.6526,-0.3616,-0.1058,46.2173,41.8707,4.3466,35.2185,1692687.45,140.67,2000,4,2,Wednesday,1.7121679525422286
2000-04-13,41.5,42.5,41.38,42.5,688062.0,1.432,1.12,43.94,43.729,51.0556,43.1693,43.5672,-0.3979,-0.1642,46.2025,41.6775,4.5251,37.6238,1636706.7,144.12,2000,4,2,Thursday,1.7036701369953218
2000-04-14,42.25,42.4,41.25,41.25,744425.0,-2.9412,1.15,43.803,43.6142,50.9509,42.8741,43.3956,-0.5215,-0.2357,46.3648,41.2412,5.1236,27.9496,866947.3,136.94,2000,4,2,Friday,1.7543686109908283
2000-04-17,40.51,41.5,40.5,41.4,891050.0,0.3636,1.0,43.68,43.5112,50.8469,42.6473,43.2478,-0.6005,-0.3086,46.4574,40.9026,5.5549,29.3318,879422.05,137.8,2000,4,2,Monday,1.7383013459802603
2000-04-18,41.7,41.88,40.6,41.37,613033.0,-0.0725,1.28,43.551,43.4086,50.7398,42.4508,43.1087,-0.6579,-0.3785,46.5094,40.5926,5.9168,21.2311,886436.65,137.63,2000,4,2,Tuesday,1.620966460788132
2000-04-19,41.39,41.8,40.4,41.0,585747.0,-0.8944,1.4,43.401,43.3028,50.633,42.2276,42.9525,-0.7249,-0.4478,46.5609,40.2411,6.3198,22.8997,889097.4,135.5,2000,4,2,Wednesday,1.548800859916524
2000-04-20,41.3,42.1,41.14,41.5,718732.0,1.2195,0.96,43.266,43.2028,50.5307,42.1156,42.8449,-0.7292,-0.5041,46.5117,40.0203,6.4914,19.0612,864686.75,138.38,2000,4,2,Thursday,1.5636269988230183
2000-04-21,41.5,41.5,41.5,41.5,718732.0,0.0,0.0,43.116,43.1028,50.4287,42.0209,42.7453,-0.7243,-0.5481,46.3987,39.8333,6.5654,24.2315,801907.3,138.38,2000,4,2,Friday,1.5593543028718844
2000-04-24,41.5,41.5,41.5,41.5,718732.0,0.0,0.0,42.936,43.0058,50.3273,41.9408,42.653,-0.7122,-0.5809,46.1548,39.7172,6.4376,25.6214,721871.25,138.38,2000,4,2,Monday,1.5371817085695894
2000-04-25,41.99,42.75,41.0,42.25,597428.0,1.8072,1.75,42.796,42.9406,50.2358,41.9884,42.6232,-0.6348,-0.5917,45.8679,39.7241,6.1437,40.7407,698183.0,142.68,2000,4,2,Tuesday,1.536379865833295
2000-04-26,42.6,42.75,42.11,42.35,554988.0,0.2367,0.64,42.616,42.8676,50.1518,42.044,42.6029,-0.5589,-0.5852,45.3081,39.9239,5.3843,40.856,691639.8,143.26,2000,4,2,Wednesday,1.5176190353245151
2000-04-27,42.5,42.68,41.38,41.7,656820.0,-1.5348,1.3,42.451,42.7874,50.0688,41.9911,42.536,-0.545,-0.5771,44.9235,39.9785,4.9449,38.2514,668328.15,139.52,2000,4,2,Thursday,1.3475979231516946
2000-04-28,41.77,41.98,41.2,41.5,724952.0,-0.4796,0.78,42.2335,42.7064,49.9928,41.9155,42.4593,-0.5438,-0.5705,44.1497,40.3173,3.8325,37.3666,669703.35,138.38,2000,4,2,Friday,1.3323510789137976
2000-05-01,41.5,41.5,41.5,41.5,724952.0,0.0,0.0,42.091,42.6266,49.9165,41.8516,42.3882,-0.5366,-0.5637,43.7513,40.4307,3.3207,43.2989,622875.1,138.38,2000,5,2,Monday,1.3326014086015738
2000-05-02,41.57,42.7,41.57,42.02,1004392.0,1.253,1.13,41.9895,42.567,49.8461,41.8775,42.361,-0.4835,-0.5476,43.3702,40.6088,2.7615,51.1719,623113.75,141.36,2000,5,2,Tuesday,1.3564428410071478
2000-05-03,42.0,44.3,42.0,43.5,1600037.0,3.5221,2.3,42.0045,42.591,49.7786,42.1271,42.4453,-0.3182,-0.5018,43.4458,40.5632,2.8826,58.3333,640595.1,149.86,2000,5,2,Wednesday,1.512269822139563
2000-05-04,43.88,46.15,43.51,45.9,2065412.0,5.5172,2.64,42.135,42.7168,49.7225,42.7076,42.7012,0.0063,-0.4001,44.3378,39.9322,4.4057,82.5175,709440.6,163.65,2000,5,2,Thursday,1.8191891307209749
2000-05-05,46.0,46.8,45.67,46.8,1667462.0,1.9608,1.13,42.3255,42.82,49.679,43.3372,43.0049,0.3323,-0.2537,45.3466,39.3044,6.0423,84.1772,764764.5,168.82,2000,5,2,Friday,1.8470843880708794
2000-05-08,46.45,47.08,45.8,47.05,1215631.0,0.5342,1.28,42.532,42.917,49.6336,43.9084,43.3045,0.6039,-0.0821,46.2161,38.8479,7.3682,84.9754,795899.85,170.25,2000,5,2,Monday,1.8353391137059258
2000-05-09,46.81,49.0,46.17,49.0,3296374.0,4.1445,2.83,42.8745,43.068,49.5973,44.6917,43.7264,0.9653,0.1273,47.5495,38.1995,9.3499,91.2371,925689.8,181.46,2000,5,2,Tuesday,1.9731609054754138
2000-05-10,48.6,48.88,46.21,47.0,1845110.0,-4.0816,2.67,43.1295,43.193,49.5548,45.0468,43.9689,1.078,0.3175,48.126,38.133,9.9929,74.5536,973482.75,169.97,2000,5,2,Wednesday,2.100751164232211
2000-05-11,46.0,47.76,46.0,47.5,947375.0,1.0638,1.76,43.3795,43.314,49.5153,45.4242,44.2304,1.1938,0.4927,48.7311,38.0279,10.7031,75.641,986448.4,172.84,2000,5,2,Thursday,2.0670421817009537
2000-05-12,47.23,47.36,45.85,46.3,690539.0,-2.5263,1.51,43.632,43.395,49.48,45.559,44.3837,1.1752,0.6292,49.0368,38.2272,10.8096,68.6047,983754.1,165.95,2000,5,2,Friday,2.0996370991005904
2000-05-15,46.3,46.79,45.95,46.41,792903.0,0.2376,0.84,43.8825,43.4898,49.4433,45.6899,44.5338,1.1561,0.7346,49.3161,38.4489,10.8671,66.9657,978846.75,166.58,2000,5,2,Monday,2.0035481448968335
2000-05-16,46.5,47.89,46.5,47.5,974930.0,2.3486,1.39,44.189,43.6342,49.4123,45.9684,44.7535,1.2148,0.8306,49.7166,38.6614,11.0551,69.434,996941.6,172.84,2000,5,2,Tuesday,2.035313741230423
2000-05-17,47.02,47.39,45.91,46.11,717060.0,-2.9263,1.48,44.4445,43.7284,49.3769,45.9902,44.854,1.1361,0.8917,49.8218,39.0672,10.7545,65.7613,1003507.25,164.86,2000,5,2,Wednesday,2.080124402792284
2000-05-18,46.01,46.55,43.15,44.83,1328148.0,-2.776,3.4,44.611,43.8,49.3337,45.8117,44.8522,0.9594,0.9053,49.8076,39.4144,10.3931,61.0484,1033978.05,157.5,2000,5,2,Thursday,2.1517350188739037
2000-05-19,44.9,45.05,43.78,44.3,1096969.0,-1.1823,1.27,44.751,43.8658,49.2879,45.5791,44.8113,0.7678,0.8778,49.7415,39.7605,9.9809,58.9744,1088826.5,154.46,2000,5,2,Friday,2.160095917274876
2000-05-22,44.47,45.23,43.85,44.68,960099.0,0.8578,1.38,44.91,43.9274,49.2385,45.4408,44.8016,0.6392,0.8301,49.6612,40.1588,9.5025,58.6028,1136831.45,156.64,2000,5,2,Monday,2.1634814275638687
2000-05-23,44.68,45.05,43.62,44.72,1348487.0,0.0895,1.43,45.0335,43.9746,49.1881,45.3299,44.7956,0.5343,0.7709,49.6191,40.4479,9.1713,54.3509,1174384.4,156.87,2000,5,2,Tuesday,2.132025932483377
2000-05-24,43.19,44.36,43.19,44.0,774805.0,-1.61,1.17,45.116,43.9964,49.1328,45.1253,44.7366,0.3887,0.6945,49.5554,40.6766,8.8788,42.3015,1185375.25,152.74,2000,5,2,Wednesday,2.1533650148615973
2000-05-25,44.0,44.11,43.17,43.6,436814.0,-0.9091,0.94,45.211,43.9768,49.0746,44.8906,44.6524,0.2382,0.6032,49.4178,41.0042,8.4136,36.4865,1174374.95,150.44,2000,5,2,Thursday,2.1490482613601714
2000-05-26,43.16,44.0,42.61,43.4,504951.0,-0.4587,1.39,45.306,43.965,49.0176,44.6613,44.5597,0.1016,0.5029,49.2367,41.3753,7.8614,34.5208,1163374.9,149.29,2000,5,2,Friday,2.074100759323806
2000-05-29,43.53,44.05,43.12,43.42,211507.0,0.0461,0.93,45.402,43.9562,48.9594,44.4703,44.4752,-0.0049,0.4013,49.0229,41.7811,7.2418,21.7038,1173950.25,149.4,2000,5,2,Monday,2.073995229325364
2000-05-30,44.0,44.0,43.1,43.69,437089.0,0.6218,0.9,45.4855,43.951,48.9004,44.3503,44.4171,-0.0668,0.3077,48.8457,42.1253,6.7203,29.6433,1145585.1,150.95,2000,5,2,Tuesday,2.074959030979017
2000-05-31,43.99,43.99,43.05,43.05,489977.0,-1.4649,0.94,45.463,43.932,48.8407,44.1502,44.3158,-0.1656,0.2131,48.8846,42.0414,6.8432,23.0955,1090082.1,147.28,2000,5,2,Wednesday,2.0879342883261
2000-06-01,43.39,44.15,43.39,43.84,371432.0,1.8351,0.76,45.36,43.9248,48.7819,44.1025,44.2806,-0.1781,0.1348,48.8496,41.8704,6.9791,34.3512,1005383.1,151.82,2000,6,2,Thursday,2.101446419728209
2000-06-02,43.99,43.99,42.85,42.85,672029.0,-2.2582,1.14,45.1625,43.8918,48.71,43.9098,44.1746,-0.2648,0.0549,48.7545,41.5705,7.184,29.6339,955611.45,146.13,2000,6,2,Friday,2.148921370907933
2000-06-05,43.0,43.85,42.55,43.02,695916.0,0.3967,1.3,44.961,43.8502,48.6326,43.7729,44.0891,-0.3162,-0.0193,48.5593,41.3627,7.1967,21.3555,929625.7,147.11,2000,6,2,Monday,2.1493210867914634
